Disaster,,,,,,,,,,
ID,ORGANIZATION,YEAR_,START_DATE,END_DATE,UNIT,NAME,CAUSE,LOCALITY,DESTRUCTION (in Thousand Dollars),TOTAL_ACRES
1816,FWS,1991,4/26/1991 0:00,4/26/1991 0:00,22552,MESQUITE,Human,ARI,4,0.5
1817,FWS,1991,9/26/1991 0:00,9/27/1991 0:00,22552,BLANKENSHP,Natural,ARI,4,5
1818,FWS,2002,07-02-2002 00:00,07-02-2002 00:00,22552,MOABI,Human,CAL,6,0.2
1819,FWS,1999,3/31/1999 0:00,04-02-1999 00:00,22552,CRYSTAL,Human,CAL,6,419
1820,FWS,1999,09-12-1999 00:00,9/13/1999 0:00,22552,CATFISH,Natural,ARI,4,20
1821,FWS,1997,10/26/1997 0:00,10/26/1997 0:00,22552,TAMARISK,Human,ARI,4,0.1
1822,FWS,2004,5/20/2004 0:00,5/20/2004 0:00,22552,CAR FIRE,Human,ARI,4,0.5
1823,FWS,2004,06-06-2004 00:00,06-07-2004 00:00,22552,SOUTH DIKE 2,Human,CAL,6,3
1824,FWS,2004,07-04-2004 00:00,07-04-2004 00:00,22552,BOAT FIRE,Human,CAL,6,0.1
1825,FWS,2003,10/26/2003 0:00,10/27/2003 0:00,22552,SHORELINE,Human,ARI,4,0.5
